39 documents , 1 concepts , 261 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -395, end 142, times 6, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  104053 (0.803) ; nlsj113039 (0.111) ; 100693 (0.058) ; 90504 (0.004) ; 85419 (0.003) ; 11305 (0.002) ; 4509 (0.001) ; 80978 (0.001) ; 48291 (0.001) ; 17962 (0.001) ; 

0.030420959867710658   T=0,K=3:  34450 (0.139) ; 59339 (0.102) ; 66342 (0.065) ; 48291 (0.058) ; nlsj80674 (0.051) ; 83231 (0.047) ; 35570 (0.039) ; 64914 (0.038) ; 54178 (0.035) ; 17962 (0.032) ; 
0.09218800399133326   T=1,K=3:  48291 (0.103) ; 66342 (0.095) ; 59339 (0.079) ; 34450 (0.076) ; 17962 (0.046) ; 83231 (0.045) ; 35570 (0.045) ; 64914 (0.044) ; nlsj80674 (0.036) ; 84234 (0.032) ; 
0.18529373254657297   T=2,K=3:  48291 (0.132) ; 34450 (0.106) ; 66342 (0.072) ; 59339 (0.056) ; 35570 (0.048) ; 17962 (0.046) ; 54178 (0.043) ; 84234 (0.041) ; nlsj80674 (0.038) ; 64914 (0.037) ; 
0.18927153351799525   T=3,K=3:  48291 (0.113) ; 66342 (0.077) ; 34450 (0.069) ; 84234 (0.068) ; 17962 (0.063) ; 35570 (0.060) ; 10061 (0.045) ; 73277 (0.044) ; nlsj80674 (0.041) ; 59339 (0.039) ; 
0.19305981843777736   T=4,K=3:  48291 (0.117) ; 66342 (0.085) ; 84234 (0.077) ; 17962 (0.060) ; nlsj80674 (0.056) ; 54178 (0.046) ; 59339 (0.045) ; 34450 (0.045) ; 35570 (0.044) ; 85734 (0.039) ; 
0.1604850540254557   T=5,K=3:  48291 (0.113) ; 84234 (0.110) ; 17962 (0.075) ; 35570 (0.068) ; 34450 (0.058) ; 59339 (0.051) ; 54178 (0.051) ; nlsj80674 (0.048) ; 85734 (0.040) ; 66342 (0.037) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  48291 (0.106) ; 34450 (0.082) ; 66342 (0.072) ; 59339 (0.062) ; 84234 (0.059) ; 17962 (0.054) ; 35570 (0.051) ; nlsj80674 (0.045) ; 54178 (0.038) ; 83231 (0.035) ; 

0.04892553479418563   T=0,K=4:  51373 (0.177) ; nlsj4587 (0.091) ; 9143 (0.089) ; 84511 (0.087) ; 51256 (0.076) ; 109687 (0.067) ; 48574 (0.062) ; 72202 (0.053) ; 24668 (0.041) ; 11058 (0.029) ; 
0.07201895190714079   T=1,K=4:  51373 (0.313) ; 9143 (0.087) ; 84511 (0.068) ; 51256 (0.064) ; 72202 (0.062) ; nlsj4587 (0.046) ; 48574 (0.045) ; 24668 (0.040) ; 109687 (0.035) ; 11058 (0.033) ; 
0.02620987245684006   T=2,K=4:  51373 (0.272) ; 84511 (0.098) ; 51256 (0.095) ; 9143 (0.081) ; 72202 (0.068) ; 11058 (0.052) ; nlsj4587 (0.042) ; 24668 (0.035) ; 109687 (0.031) ; 48574 (0.024) ; 
0.01511252997942072   T=3,K=4:  51373 (0.233) ; 9143 (0.124) ; 84511 (0.108) ; 51256 (0.091) ; 72202 (0.057) ; 11058 (0.040) ; nlsj4587 (0.038) ; 48574 (0.031) ; 59735 (0.031) ; 109687 (0.022) ; 
0.005950233148175583   T=4,K=4:  51373 (0.207) ; 84511 (0.159) ; 9143 (0.118) ; 72202 (0.068) ; 51256 (0.057) ; 59735 (0.054) ; 48574 (0.041) ; nlsj4587 (0.038) ; 11058 (0.031) ; 102000 (0.023) ; 
0.002157371286407929   T=5,K=4:  84511 (0.196) ; 51373 (0.142) ; 9143 (0.089) ; 59735 (0.078) ; 72202 (0.073) ; 51256 (0.060) ; 11058 (0.057) ; nlsj4587 (0.047) ; 48574 (0.043) ; 24668 (0.018) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  51373 (0.224) ; 84511 (0.119) ; 9143 (0.098) ; 51256 (0.074) ; 72202 (0.063) ; nlsj4587 (0.050) ; 48574 (0.041) ; 11058 (0.040) ; 59735 (0.035) ; 109687 (0.032) ; 

0.035554925093233165   T=0,K=5:  85724 (0.140) ; 90122 (0.094) ; 51647 (0.084) ; 11760 (0.083) ; 115055 (0.051) ; 75552 (0.050) ; 72254 (0.047) ; nlsj114757 (0.047) ; 100693 (0.043) ; 59295 (0.041) ; 
0.035058846997290456   T=1,K=5:  90122 (0.118) ; 85724 (0.101) ; 75552 (0.067) ; 59295 (0.060) ; 51647 (0.056) ; 7051 (0.055) ; 72254 (0.054) ; 11760 (0.049) ; 100693 (0.049) ; 112794 (0.041) ; 
0.12262188902430503   T=2,K=5:  90122 (0.121) ; 85724 (0.111) ; 59295 (0.080) ; 51647 (0.067) ; 100693 (0.066) ; 75552 (0.059) ; 72254 (0.055) ; 11760 (0.043) ; nlsj114757 (0.041) ; 11325 (0.040) ; 
0.09193590730067003   T=3,K=5:  85724 (0.089) ; 100693 (0.087) ; 72254 (0.081) ; 90122 (0.078) ; 75552 (0.067) ; 51647 (0.060) ; 59295 (0.059) ; 17775 (0.058) ; 65755 (0.050) ; 11325 (0.038) ; 
0.07092082383295457   T=4,K=5:  72254 (0.139) ; 90122 (0.126) ; 85724 (0.100) ; 100693 (0.079) ; 51647 (0.056) ; 7051 (0.051) ; 65755 (0.050) ; 75552 (0.042) ; 59295 (0.041) ; 10581 (0.038) ; 
0.12079217444937669   T=5,K=5:  72254 (0.169) ; 100693 (0.095) ; 90122 (0.086) ; 85724 (0.086) ; 10581 (0.076) ; 65755 (0.058) ; 59295 (0.048) ; 51647 (0.044) ; nlsj113039 (0.040) ; 75552 (0.034) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  85724 (0.104) ; 90122 (0.104) ; 72254 (0.091) ; 100693 (0.070) ; 51647 (0.061) ; 59295 (0.055) ; 75552 (0.053) ; 65755 (0.043) ; 7051 (0.039) ; 17775 (0.035) ; 

5.880549393333813e-07   T=0,K=6:  18445 (0.560) ; 59339 (0.358) ; 48574 (0.010) ; 72195 (0.007) ; 82331 (0.007) ; 72287 (0.007) ; 36571 (0.007) ; 100693 (0.007) ; 34450 (0.006) ; nlsj114757 (0.004) ; 
3.4570007634801263e-07   T=1,K=6:  18445 (0.492) ; 59339 (0.437) ; 82331 (0.009) ; 48574 (0.008) ; 72287 (0.008) ; 72195 (0.005) ; 36571 (0.005) ; 100693 (0.004) ; 42214 (0.003) ; 34450 (0.003) ; 
2.959601186587226e-07   T=2,K=6:  59339 (0.546) ; 18445 (0.370) ; 72195 (0.011) ; 48574 (0.011) ; 82331 (0.009) ; 36571 (0.007) ; 72287 (0.006) ; nlsj11071 (0.006) ; 42214 (0.005) ; 100693 (0.005) ; 
3.5089896053836264e-07   T=3,K=6:  59339 (0.573) ; 18445 (0.354) ; 48574 (0.012) ; 72195 (0.007) ; 72287 (0.007) ; 42214 (0.006) ; 82331 (0.006) ; 36571 (0.006) ; nlsj11071 (0.005) ; 100693 (0.004) ; 
4.784527623313161e-07   T=4,K=6:  59339 (0.635) ; 18445 (0.266) ; 48574 (0.023) ; 42214 (0.008) ; 36571 (0.008) ; 72287 (0.008) ; 72195 (0.008) ; nlsj11071 (0.006) ; 82331 (0.006) ; 7051 (0.004) ; 
4.733123639927289e-07   T=5,K=6:  59339 (0.698) ; 18445 (0.170) ; 48574 (0.034) ; 36571 (0.014) ; 72195 (0.013) ; 72287 (0.011) ; 42214 (0.010) ; 82331 (0.007) ; 7051 (0.005) ; nlsj11071 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  59339 (0.541) ; 18445 (0.369) ; 48574 (0.016) ; 72195 (0.009) ; 72287 (0.008) ; 36571 (0.008) ; 82331 (0.007) ; 42214 (0.006) ; nlsj11071 (0.005) ; 100693 (0.004) ; 

0.13489348297905066   T=0,K=7:  72292 (0.084) ; 1564 (0.075) ; nlsj65911 (0.068) ; 12485 (0.061) ; 67289 (0.056) ; nlsj59172 (0.054) ; 24394 (0.049) ; 110639 (0.048) ; 19789 (0.046) ; 102381 (0.039) ; 
0.14228379511006603   T=1,K=7:  72292 (0.105) ; 1564 (0.072) ; nlsj59172 (0.068) ; 12485 (0.062) ; 19789 (0.060) ; nlsj65911 (0.054) ; 110639 (0.046) ; 102381 (0.042) ; 24394 (0.035) ; 67289 (0.031) ; 
