785 documents , 1 concepts , 1744 context features (15047) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 8, max_docs_per_slice 2000, start -488, end 400, times 45, dT 20, I 100


map[]

===============  per type  ===============
0.5117307003508104   T=20,K=0:  79904 (0.023) ; 97502 (0.014) ; 22209 (0.008) ; 65552 (0.007) ; 24436 (0.007) ; 56991 (0.006) ; 67260 (0.006) ; 102869 (0.005) ; 28588 (0.005) ; 67225 (0.005) ; 
0.35647367628163196   T=21,K=0:  79904 (0.012) ; 24436 (0.007) ; 97502 (0.007) ; 22209 (0.006) ; 65552 (0.006) ; 71882 (0.006) ; 67225 (0.005) ; 80655 (0.004) ; 43287 (0.004) ; 102869 (0.004) ; 
0.1502628987007504   T=22,K=0:  79904 (0.007) ; 24436 (0.007) ; 71882 (0.006) ; 75516 (0.005) ; 102869 (0.005) ; 80655 (0.005) ; 34848 (0.005) ; 67260 (0.004) ; 15047 (0.004) ; 76118 (0.004) ; 
0.06872032427928529   T=23,K=0:  71882 (0.012) ; 79904 (0.006) ; 15047 (0.005) ; 75516 (0.005) ; 97502 (0.005) ; 24436 (0.005) ; 65552 (0.005) ; 80655 (0.005) ; 33532 (0.004) ; 31565 (0.004) ; 
0.06632406031495247   T=24,K=0:  71882 (0.015) ; 11036 (0.008) ; 75516 (0.007) ; 15047 (0.007) ; 79904 (0.006) ; 31565 (0.005) ; 102869 (0.005) ; 34848 (0.004) ; 30809 (0.004) ; 40462 (0.004) ; 
0.08773136031869003   T=25,K=0:  71882 (0.012) ; 11036 (0.008) ; 40462 (0.006) ; 77627 (0.005) ; 72122 (0.005) ; 79904 (0.005) ; 30809 (0.005) ; 34848 (0.005) ; 75516 (0.004) ; 19972 (0.004) ; 
0.0578446464165534   T=26,K=0:  71882 (0.009) ; 30809 (0.007) ; 11036 (0.007) ; 77627 (0.007) ; 75516 (0.006) ; 31565 (0.005) ; 33532 (0.005) ; 96270 (0.004) ; 34848 (0.004) ; 24436 (0.004) ; 
0.03436218752353238   T=27,K=0:  30809 (0.012) ; 11036 (0.010) ; 71882 (0.007) ; 61542 (0.006) ; 68754 (0.005) ; 65552 (0.005) ; 75516 (0.005) ; 77928 (0.005) ; 72122 (0.005) ; 74735 (0.005) ; 
0.024882414196153543   T=28,K=0:  30809 (0.010) ; 71882 (0.008) ; 11036 (0.008) ; 65552 (0.006) ; 98064 (0.006) ; 72122 (0.005) ; 104166 (0.005) ; 74735 (0.005) ; 61542 (0.005) ; 36468 (0.005) ; 
0.06654881050973478   T=29,K=0:  11036 (0.010) ; 71882 (0.008) ; 98064 (0.006) ; 104166 (0.006) ; 36468 (0.006) ; 15038 (0.006) ; 30809 (0.005) ; 68754 (0.005) ; 74735 (0.005) ; 61542 (0.005) ; 
0.04950307850722684   T=30,K=0:  71882 (0.015) ; 36468 (0.009) ; 104698 (0.009) ; 11036 (0.007) ; 15038 (0.007) ; 98064 (0.006) ; 72122 (0.006) ; 74735 (0.005) ; 3464 (0.005) ; 9075 (0.005) ; 
0.034321843610125524   T=31,K=0:  36468 (0.013) ; 104698 (0.012) ; 71882 (0.009) ; 11036 (0.007) ; 74735 (0.006) ; 98064 (0.006) ; nlsj35046 (0.005) ; 15038 (0.005) ; 28588 (0.005) ; 24103 (0.004) ; 
0.05687740183244144   T=32,K=0:  71882 (0.014) ; 104698 (0.010) ; 11036 (0.009) ; 74735 (0.008) ; 36468 (0.008) ; nlsj35046 (0.007) ; 110407 (0.005) ; 49266 (0.005) ; 67615 (0.004) ; unknown (0.004) ; 
0.10421756814131138   T=33,K=0:  71882 (0.022) ; 104698 (0.009) ; nlsj35046 (0.008) ; 31236 (0.007) ; 49266 (0.007) ; 36468 (0.006) ; 11036 (0.005) ; 75516 (0.005) ; 74735 (0.004) ; 54357 (0.004) ; 
0.18118040802452448   T=34,K=0:  71882 (0.016) ; 104698 (0.008) ; 31236 (0.008) ; 36468 (0.008) ; nlsj35046 (0.007) ; 54357 (0.006) ; 17730 (0.005) ; 49266 (0.005) ; 11075 (0.005) ; 106974 (0.005) ; 
0.307008744148899   T=35,K=0:  31236 (0.017) ; 71882 (0.016) ; 79904 (0.010) ; 104698 (0.009) ; 36468 (0.007) ; 74735 (0.007) ; 54357 (0.006) ; 6549 (0.006) ; 24103 (0.005) ; 17730 (0.005) ; 
0.2734978480344038   T=36,K=0:  31236 (0.042) ; 71882 (0.016) ; 79904 (0.011) ; 29902 (0.006) ; 104698 (0.006) ; 36468 (0.006) ; 6549 (0.006) ; 4490 (0.005) ; 74735 (0.005) ; 24103 (0.005) ; 
0.18057994170285618   T=37,K=0:  31236 (0.058) ; 71882 (0.019) ; 79904 (0.014) ; 92010 (0.010) ; 4490 (0.007) ; 36468 (0.006) ; 83774 (0.006) ; 104698 (0.005) ; 74735 (0.005) ; 29902 (0.005) ; 
0.18379448401067605   T=38,K=0:  31236 (0.058) ; 71882 (0.017) ; 79904 (0.014) ; 4490 (0.010) ; 92010 (0.009) ; 104698 (0.009) ; 60535 (0.009) ; 82665 (0.008) ; 83774 (0.006) ; 19545 (0.006) ; 
0.3897466303812361   T=39,K=0:  31236 (0.025) ; 71882 (0.017) ; 79904 (0.015) ; 4490 (0.013) ; 60535 (0.012) ; 82665 (0.012) ; 104698 (0.012) ; 92010 (0.010) ; 66294 (0.006) ; 83774 (0.006) ; 
0.32596241385120156   T=40,K=0:  71882 (0.020) ; 79904 (0.018) ; 4490 (0.017) ; 31236 (0.013) ; 92010 (0.009) ; 82665 (0.009) ; 104698 (0.009) ; 13872 (0.008) ; 60535 (0.007) ; 74735 (0.007) ; 
0.4739633993480369   T=41,K=0:  4490 (0.027) ; 71882 (0.017) ; 79904 (0.014) ; 31236 (0.009) ; 13872 (0.008) ; 60535 (0.008) ; 30989 (0.008) ; 92010 (0.007) ; 63772 (0.006) ; 17730 (0.006) ; 
0.6822298903554029   T=42,K=0:  4490 (0.028) ; 71882 (0.024) ; 17730 (0.011) ; 31236 (0.010) ; 30989 (0.008) ; 79904 (0.007) ; 26412 (0.007) ; 104698 (0.007) ; 13872 (0.006) ; 92010 (0.006) ; 
