470 documents , 1 concepts , 1904 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -700, end 142, times 9, dT 100, I 1000


map[]

===============  per type  ===============
0.016228906104900825   T=3,K=2:  84494 (0.025) ; 75552 (0.021) ; 90410 (0.020) ; 114972 (0.019) ; 75954 (0.018) ; 93634 (0.018) ; 43723 (0.018) ; 46123 (0.017) ; 4602 (0.016) ; 8909 (0.016) ; 
0.026959681964508833   T=4,K=2:  75552 (0.023) ; 45772 (0.023) ; 43723 (0.020) ; 8909 (0.020) ; 114972 (0.019) ; 52571 (0.018) ; 46123 (0.018) ; 90410 (0.017) ; 89676 (0.016) ; 75954 (0.016) ; 
0.03573947916909386   T=5,K=2:  114972 (0.033) ; 75552 (0.025) ; 8909 (0.022) ; 42887 (0.019) ; 52571 (0.018) ; 45772 (0.018) ; 46123 (0.016) ; 84494 (0.015) ; 75954 (0.015) ; 43723 (0.014) ; 
0.06182077081320316   T=6,K=2:  114972 (0.028) ; 8909 (0.021) ; 75552 (0.021) ; 85306 (0.017) ; 24847 (0.016) ; 58790 (0.014) ; 93634 (0.014) ; 84494 (0.013) ; nlsj16712 (0.013) ; 75954 (0.013) ; 
0.0739793779653702   T=7,K=2:  8909 (0.031) ; 75552 (0.026) ; 114972 (0.020) ; nlsj16712 (0.018) ; 43723 (0.017) ; 58790 (0.017) ; 85306 (0.016) ; 46123 (0.016) ; 42887 (0.014) ; 80043 (0.013) ; 
0.06720159839278897   T=8,K=2:  8909 (0.030) ; 43723 (0.023) ; 75552 (0.023) ; 114972 (0.023) ; nlsj16712 (0.021) ; 58790 (0.017) ; 42887 (0.017) ; 93634 (0.015) ; 45772 (0.014) ; 105548 (0.013) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  75552 (0.028) ; 114972 (0.022) ; 43723 (0.020) ; 8909 (0.020) ; 84494 (0.020) ; 75954 (0.017) ; 46123 (0.017) ; 93634 (0.015) ; 42887 (0.014) ; 90410 (0.014) ; 

3.327417317540138e-06   T=0,K=3:  nlsj4887 (0.054) ; 4965 (0.047) ; 26447 (0.043) ; 36505 (0.040) ; 10923 (0.029) ; 110639 (0.025) ; 49129 (0.024) ; 80461 (0.023) ; nlsj76838 (0.022) ; 115193 (0.022) ; 
1.9434199891290996e-06   T=1,K=3:  26447 (0.074) ; nlsj4887 (0.046) ; 36505 (0.035) ; 114553 (0.029) ; 4965 (0.028) ; 115193 (0.026) ; 1872 (0.021) ; 49129 (0.019) ; 16067 (0.019) ; 10923 (0.019) ; 
1.4153462824841697e-06   T=2,K=3:  26447 (0.052) ; nlsj4887 (0.038) ; 36505 (0.038) ; 114553 (0.037) ; 61791 (0.032) ; 4965 (0.030) ; 1872 (0.029) ; 16067 (0.019) ; 86276 (0.019) ; 10923 (0.018) ; 
1.5712319020633561e-06   T=3,K=3:  26447 (0.057) ; 114553 (0.042) ; 1872 (0.031) ; nlsj4887 (0.026) ; 4965 (0.023) ; 10923 (0.022) ; 36505 (0.021) ; 61791 (0.021) ; 25373 (0.017) ; 49129 (0.015) ; 
1.4395104829141966e-06   T=4,K=3:  26447 (0.032) ; 25373 (0.025) ; 18980 (0.024) ; 61791 (0.023) ; 4965 (0.021) ; 86371 (0.021) ; 114553 (0.018) ; 49129 (0.018) ; 112769 (0.018) ; 36505 (0.017) ; 
1.1903609034522995e-06   T=5,K=3:  4965 (0.028) ; 26447 (0.027) ; 61791 (0.027) ; 18980 (0.021) ; 114553 (0.019) ; 86371 (0.018) ; 11819 (0.017) ; 112769 (0.016) ; 115193 (0.016) ; 1872 (0.015) ; 
1.6665842013116971e-06   T=6,K=3:  61791 (0.033) ; 4965 (0.028) ; 86371 (0.025) ; 11819 (0.024) ; 84034 (0.022) ; 101042 (0.022) ; 26447 (0.020) ; 90504 (0.019) ; 114553 (0.019) ; 1872 (0.018) ; 
1.2983518200547063e-06   T=7,K=3:  61791 (0.036) ; 86371 (0.026) ; 25373 (0.025) ; 4965 (0.024) ; 51368 (0.022) ; 11819 (0.020) ; 90504 (0.018) ; 84034 (0.018) ; 1872 (0.018) ; 31161 (0.017) ; 
1.6142809279495848e-06   T=8,K=3:  61791 (0.068) ; 25373 (0.030) ; 1872 (0.028) ; 86371 (0.026) ; 51368 (0.024) ; 101042 (0.023) ; 4965 (0.022) ; 84363 (0.020) ; 49129 (0.019) ; 114553 (0.017) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  26447 (0.037) ; 61791 (0.030) ; 4965 (0.028) ; nlsj4887 (0.024) ; 114553 (0.023) ; 1872 (0.021) ; 36505 (0.021) ; 86371 (0.020) ; 49129 (0.017) ; 25373 (0.016) ; 

5.320282399306223e-05   T=0,K=4:  112559 (0.138) ; 45471 (0.097) ; 14826 (0.069) ; 40154 (0.068) ; 84202 (0.038) ; 23292 (0.027) ; 14181 (0.026) ; 114816 (0.025) ; nlsj8205 (0.025) ; 73335 (0.022) ; 
2.578962814569507e-05   T=1,K=4:  112559 (0.107) ; 45471 (0.080) ; 40154 (0.073) ; 14826 (0.053) ; 84202 (0.033) ; 73335 (0.030) ; nlsj8205 (0.029) ; 14181 (0.028) ; nlsj80674 (0.027) ; 114842 (0.025) ; 
2.7208330497542963e-05   T=2,K=4:  40154 (0.095) ; 45471 (0.089) ; 112559 (0.068) ; 14826 (0.041) ; 73335 (0.030) ; 114816 (0.028) ; 14181 (0.027) ; 107315 (0.026) ; nlsj8205 (0.025) ; 84202 (0.024) ; 
3.6998117910010423e-05   T=3,K=4:  45471 (0.128) ; 40154 (0.049) ; 14826 (0.038) ; 44831 (0.034) ; 114816 (0.034) ; nlsj80674 (0.030) ; 112559 (0.029) ; nlsj8205 (0.028) ; 14181 (0.027) ; 78437 (0.025) ; 
4.426208787820118e-05   T=4,K=4:  45471 (0.108) ; 40154 (0.061) ; 114816 (0.044) ; 14826 (0.032) ; 23292 (0.031) ; 76258 (0.029) ; 44831 (0.028) ; 100960 (0.028) ; nlsj8205 (0.028) ; 113692 (0.027) ; 
4.073297879634951e-05   T=5,K=4:  45471 (0.065) ; 114816 (0.056) ; 40154 (0.053) ; 76258 (0.051) ; nlsj2087 (0.033) ; 14495 (0.030) ; 112559 (0.028) ; 23292 (0.027) ; 100960 (0.026) ; 44831 (0.025) ; 
5.104333852429374e-05   T=6,K=4:  114816 (0.067) ; 76258 (0.057) ; 45471 (0.043) ; 100960 (0.038) ; 44831 (0.033) ; nlsj2087 (0.031) ; 23292 (0.030) ; 40154 (0.028) ; 78437 (0.027) ; nlsj8205 (0.027) ; 
4.730300799345494e-05   T=7,K=4:  114816 (0.059) ; 76258 (0.047) ; nlsj2087 (0.045) ; nlsj8205 (0.037) ; 45471 (0.035) ; 73335 (0.035) ; 100960 (0.035) ; 23292 (0.032) ; 40154 (0.031) ; 14495 (0.030) ; 
4.4461867728596354e-05   T=8,K=4:  nlsj2087 (0.055) ; 76258 (0.048) ; 23292 (0.045) ; 73335 (0.043) ; 14495 (0.037) ; nlsj8205 (0.033) ; 100960 (0.031) ; 44831 (0.029) ; 60166 (0.028) ; 84202 (0.027) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  45471 (0.075) ; 40154 (0.054) ; 112559 (0.049) ; 114816 (0.040) ; 14826 (0.035) ; 76258 (0.033) ; 23292 (0.028) ; nlsj8205 (0.028) ; 73335 (0.026) ; nlsj2087 (0.026) ; 

1.5024339651237988e-06   T=0,K=5:  81297 (0.110) ; 76965 (0.090) ; 61925 (0.089) ; 24673 (0.069) ; 70039 (0.042) ; 64165 (0.035) ; 45837 (0.034) ; 55361 (0.028) ; 47007 (0.024) ; 24529 (0.023) ; 
8.828901176710582e-07   T=1,K=5:  81297 (0.096) ; 76965 (0.077) ; 61925 (0.067) ; 70039 (0.066) ; 24673 (0.052) ; 53454 (0.031) ; 24529 (0.030) ; 47007 (0.029) ; 45837 (0.029) ; 55361 (0.028) ; 
9.94174757929495e-07   T=2,K=5:  81297 (0.125) ; 61925 (0.066) ; 76965 (0.060) ; 70989 (0.044) ; 70039 (0.041) ; 24673 (0.041) ; 45837 (0.036) ; 55361 (0.027) ; 77640 (0.026) ; 47007 (0.025) ; 
1.1539319929965752e-06   T=3,K=5:  61925 (0.100) ; 76965 (0.085) ; 81297 (0.078) ; 24673 (0.047) ; 70039 (0.044) ; 70989 (0.034) ; 45837 (0.033) ; 110284 (0.023) ; 55361 (0.021) ; 64165 (0.021) ; 
9.586981089763528e-07   T=4,K=5:  76965 (0.138) ; 81297 (0.069) ; 61925 (0.060) ; 24673 (0.050) ; 70039 (0.033) ; 64165 (0.033) ; nlsj8577 (0.027) ; 70989 (0.023) ; 49149 (0.023) ; 45837 (0.021) ; 
8.499358130157256e-07   T=5,K=5:  76965 (0.101) ; 61925 (0.073) ; 81297 (0.043) ; nlsj8577 (0.042) ; 70039 (0.036) ; 24673 (0.035) ; 64165 (0.028) ; 45837 (0.027) ; 49149 (0.025) ; 70989 (0.023) ; 
6.743697331493455e-07   T=6,K=5:  61925 (0.088) ; 76965 (0.081) ; 24673 (0.040) ; 70039 (0.039) ; 47007 (0.035) ; nlsj8577 (0.031) ; 81297 (0.027) ; 45837 (0.024) ; 64165 (0.022) ; 5227 (0.022) ; 
7.120592753007778e-07   T=7,K=5:  61925 (0.081) ; 47007 (0.063) ; 76965 (0.054) ; 110763 (0.035) ; 70039 (0.033) ; nlsj8577 (0.030) ; 24673 (0.029) ; 49149 (0.028) ; 38534 (0.025) ; 5227 (0.023) ; 
6.741612078450605e-07   T=8,K=5:  47007 (0.098) ; 76965 (0.081) ; 61925 (0.053) ; nlsj8577 (0.032) ; 49149 (0.030) ; 53454 (0.027) ; 38534 (0.027) ; 45837 (0.026) ; 24529 (0.026) ; 110763 (0.025) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  76965 (0.085) ; 61925 (0.075) ; 81297 (0.064) ; 24673 (0.043) ; 70039 (0.039) ; 47007 (0.036) ; 45837 (0.028) ; nlsj8577 (0.025) ; 64165 (0.025) ; 70989 (0.022) ; 

0.9695577211109032   T=0,K=6:  91137 (0.133) ; 103993 (0.065) ; 64956 (0.048) ; 66494 (0.039) ; 90504 (0.037) ; 84494 (0.034) ; 46195 (0.034) ; 42827 (0.030) ; 85306 (0.025) ; 68890 (0.024) ; 
0.9861621871097633   T=1,K=6:  91137 (0.128) ; 103993 (0.068) ; 64956 (0.049) ; 68890 (0.038) ; 73881 (0.034) ; 46195 (0.034) ; 26061 (0.034) ; 90504 (0.031) ; 42827 (0.029) ; 84494 (0.026) ; 
0.9856389594884957   T=2,K=6:  91137 (0.122) ; 68890 (0.059) ; 103993 (0.056) ; 73881 (0.053) ; 90504 (0.043) ; 64956 (0.038) ; 46195 (0.033) ; 26061 (0.032) ; 66494 (0.024) ; 51949 (0.024) ; 
0.9830360689776956   T=3,K=6:  91137 (0.102) ; 73881 (0.061) ; 90504 (0.047) ; 26061 (0.047) ; 103993 (0.045) ; 64956 (0.033) ; 66494 (0.030) ; 68890 (0.030) ; 46195 (0.028) ; 113560 (0.024) ; 
0.9723042395712909   T=4,K=6:  73881 (0.060) ; 90504 (0.057) ; 91137 (0.054) ; 26061 (0.037) ; 84494 (0.036) ; 113560 (0.031) ; 103993 (0.028) ; 64956 (0.025) ; 68890 (0.023) ; 114972 (0.023) ; 
0.963531953061874   T=5,K=6:  90504 (0.063) ; 84494 (0.053) ; 73881 (0.044) ; 26061 (0.035) ; 46195 (0.031) ; 91137 (0.028) ; 64956 (0.027) ; 113560 (0.026) ; 42827 (0.022) ; 103993 (0.022) ; 
0.9372981446244933   T=6,K=6:  90504 (0.059) ; 84494 (0.040) ; 46195 (0.035) ; 73881 (0.033) ; 26061 (0.025) ; 64956 (0.025) ; 66494 (0.024) ; 346 (0.022) ; 15133 (0.020) ; 51949 (0.020) ; 
0.925123998876328   T=7,K=6:  90504 (0.051) ; 84494 (0.051) ; 46195 (0.046) ; 114972 (0.034) ; 51949 (0.025) ; 26061 (0.024) ; 73881 (0.022) ; 15133 (0.021) ; 42827 (0.021) ; 66494 (0.021) ; 
0.9318731095907316   T=8,K=6:  84494 (0.053) ; 46195 (0.038) ; 73881 (0.036) ; 114972 (0.032) ; 90504 (0.031) ; 15133 (0.027) ; 66494 (0.026) ; 42827 (0.024) ; 110166 (0.020) ; 51949 (0.020) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  91137 (0.068) ; 90504 (0.046) ; 73881 (0.040) ; 84494 (0.037) ; 103993 (0.035) ; 46195 (0.033) ; 64956 (0.031) ; 26061 (0.030) ; 66494 (0.024) ; 68890 (0.024) ; 

6.0758352786063895e-05   T=0,K=7:  108024 (0.074) ; 111844 (0.063) ; nlsj55768 (0.055) ; 39299 (0.045) ; nlsj3501 (0.042) ; 115193 (0.035) ; 26943 (0.032) ; 86112 (0.029) ; 43089 (0.024) ; 74126 (0.020) ; 
3.338262794276816e-05   T=1,K=7:  108024 (0.112) ; 111844 (0.061) ; 39299 (0.045) ; nlsj55768 (0.042) ; 115193 (0.036) ; 86112 (0.034) ; nlsj3501 (0.032) ; 108536 (0.030) ; 43089 (0.025) ; 26943 (0.023) ; 
4.0460046376110745e-05   T=2,K=7:  108024 (0.106) ; 111844 (0.044) ; 108536 (0.041) ; nlsj3501 (0.038) ; 86112 (0.034) ; 39299 (0.034) ; nlsj55768 (0.033) ; 26943 (0.024) ; 115193 (0.023) ; 45996 (0.018) ; 
4.352173908233562e-05   T=3,K=7:  108024 (0.067) ; nlsj55768 (0.044) ; 108536 (0.040) ; 88344 (0.039) ; 86112 (0.035) ; nlsj3501 (0.027) ; 115193 (0.025) ; 111844 (0.024) ; 39299 (0.023) ; 59316 (0.023) ; 
4.5054732192327106e-05   T=4,K=7:  108024 (0.076) ; 88344 (0.048) ; 86112 (0.047) ; 108536 (0.040) ; 74126 (0.037) ; 111844 (0.036) ; nlsj55768 (0.026) ; nlsj3501 (0.025) ; 59316 (0.025) ; 39299 (0.023) ; 
3.1496532424755845e-05   T=5,K=7:  108024 (0.050) ; 88344 (0.048) ; 111844 (0.045) ; 86112 (0.043) ; 108536 (0.036) ; 26943 (0.027) ; nlsj55768 (0.027) ; 45996 (0.027) ; 74126 (0.025) ; 115887 (0.022) ; 
3.613514904607584e-05   T=6,K=7:  88344 (0.059) ; 108024 (0.044) ; 108536 (0.041) ; 26943 (0.040) ; 86112 (0.035) ; 111844 (0.034) ; 17281 (0.030) ; 74126 (0.025) ; nlsj3501 (0.024) ; 45996 (0.023) ; 
2.8616334128756345e-05   T=7,K=7:  88344 (0.071) ; 108024 (0.058) ; 86112 (0.038) ; 108536 (0.036) ; 74126 (0.031) ; 111844 (0.031) ; 103975 (0.027) ; 26943 (0.026) ; nlsj3501 (0.021) ; 17281 (0.021) ; 
2.523944017489959e-05   T=8,K=7:  88344 (0.077) ; 86112 (0.048) ; 61791 (0.042) ; 111844 (0.037) ; 108024 (0.036) ; 103975 (0.032) ; 108536 (0.030) ; nlsj3501 (0.022) ; 26943 (0.022) ; 74126 (0.021) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:  108024 (0.069) ; 88344 (0.042) ; 111844 (0.042) ; 86112 (0.038) ; 108536 (0.035) ; nlsj55768 (0.030) ; nlsj3501 (0.028) ; 26943 (0.026) ; 39299 (0.026) ; 74126 (0.023) ; 

3.1619506760465705e-06   T=0,K=8:  22209 (0.055) ; 75552 (0.031) ; 88467 (0.027) ; 94474 (0.020) ; 45996 (0.016) ; 84234 (0.015) ; 90433 (0.015) ; 55139 (0.013) ; 100693 (0.013) ; 6339 (0.013) ; 
2.2907075370897534e-06   T=1,K=8:  22209 (0.047) ; 88467 (0.025) ; 94474 (0.022) ; 75552 (0.019) ; 6339 (0.016) ; 45996 (0.016) ; 86278 (0.015) ; 100693 (0.014) ; 84234 (0.014) ; 1564 (0.012) ; 
2.3567685463272504e-06   T=2,K=8:  22209 (0.048) ; 88467 (0.019) ; 75552 (0.018) ; 84234 (0.014) ; 100693 (0.014) ; 94474 (0.014) ; 6339 (0.013) ; 45996 (0.013) ; 110639 (0.013) ; 83774 (0.012) ; 
2.577320631483049e-06   T=3,K=8:  22209 (0.072) ; 110639 (0.018) ; 45996 (0.014) ; 88467 (0.014) ; 1564 (0.013) ; 6339 (0.013) ; 84234 (0.013) ; 75552 (0.012) ; 69714 (0.011) ; 72610 (0.010) ; 
