1711 documents , 1 concepts , 3654 context features (26886) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.010652322662503261   T=10,K=1:  25093 (0.035) ; 14143 (0.029) ;  (0.025) ; 89346 (0.021) ; 53290 (0.017) ; 38547 (0.017) ; 87481 (0.015) ; 6325 (0.013) ; 48291 (0.011) ; 8586 (0.009) ; 
0.004161228132641404   T=11,K=1:  14143 (0.035) ;  (0.023) ; 25093 (0.023) ; 89346 (0.021) ; 87481 (0.017) ; 38547 (0.016) ; 8586 (0.016) ; 22162 (0.015) ; 26886 (0.015) ; 53290 (0.014) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:   (0.021) ; 45996 (0.014) ; 14143 (0.013) ; 60003 (0.011) ; 25093 (0.011) ; 53290 (0.011) ; 44447 (0.011) ; 38547 (0.010) ; 48291 (0.010) ; 27847 (0.009) ; 

0.3312840844610286   T=0,K=2:  22209 (0.052) ; 92010 (0.022) ; 72627 (0.018) ; nlsj40132 (0.014) ; 26887 (0.012) ; 28569 (0.012) ; 46613 (0.012) ; 11583 (0.011) ; 26886 (0.011) ; 20621 (0.011) ; 
0.36211632985399494   T=1,K=2:  22209 (0.036) ; 84234 (0.028) ; 72627 (0.019) ; 110639 (0.014) ; 92010 (0.013) ; 26886 (0.013) ;  (0.012) ; 20621 (0.009) ; 26887 (0.009) ; 62204 (0.008) ; 
0.19230178483700922   T=2,K=2:  22209 (0.021) ; 72627 (0.018) ; 84234 (0.014) ; 26886 (0.014) ; 110639 (0.012) ;  (0.011) ; 92010 (0.010) ; nlsj71743 (0.009) ; 260 (0.009) ; 4845 (0.008) ; 
0.20171428238687927   T=3,K=2:  22209 (0.032) ; 84234 (0.020) ; 72627 (0.015) ; 63772 (0.015) ;  (0.014) ; 26886 (0.011) ; 11583 (0.011) ; 110639 (0.010) ; 103922 (0.009) ; 20621 (0.009) ; 
0.10817694047255769   T=4,K=2:  22209 (0.021) ; 84234 (0.018) ; 110639 (0.014) ; 72627 (0.013) ; 63772 (0.012) ; 26886 (0.012) ;  (0.011) ; 11583 (0.010) ; 20621 (0.010) ; 65552 (0.010) ; 
0.08448007776922861   T=5,K=2:  84234 (0.018) ; 22209 (0.013) ; 26886 (0.012) ; 62204 (0.012) ;  (0.011) ; 63772 (0.011) ; 20621 (0.011) ; 65552 (0.009) ; 85306 (0.009) ; 4845 (0.009) ; 
0.06641828288561545   T=6,K=2:  84234 (0.015) ;  (0.015) ; 26886 (0.012) ; 63772 (0.011) ; 20621 (0.011) ; 65552 (0.009) ; 22209 (0.007) ; 51148 (0.007) ; 85306 (0.007) ; 6339 (0.007) ; 
0.12551376437565784   T=7,K=2:   (0.020) ; 84234 (0.014) ; 26886 (0.012) ; 63772 (0.011) ; 28569 (0.011) ; 85306 (0.010) ; 20621 (0.010) ; 48291 (0.008) ; 65552 (0.008) ; 84494 (0.008) ; 
0.08572964411860155   T=8,K=2:  84234 (0.015) ; 105829 (0.011) ; 20621 (0.011) ; 65552 (0.009) ; 110639 (0.009) ; 90504 (0.009) ; 26886 (0.009) ; 28569 (0.009) ;  (0.009) ; 71308 (0.009) ; 
0.11890488482761351   T=9,K=2:  48291 (0.014) ; 84234 (0.013) ; 63772 (0.013) ; 105829 (0.011) ; 106696 (0.010) ; 20621 (0.010) ; 28569 (0.009) ;  (0.008) ; 65552 (0.007) ; 90504 (0.007) ; 
0.11879009172175387   T=10,K=2:  84234 (0.012) ;  (0.011) ; 110598 (0.010) ; 22209 (0.010) ; 63772 (0.010) ; 28569 (0.009) ; 48291 (0.009) ; 45996 (0.009) ; 15893 (0.008) ; 112720 (0.008) ; 
0.17011546120736862   T=11,K=2:  84234 (0.012) ; 45996 (0.012) ; 112720 (0.010) ; 110598 (0.009) ; 62204 (0.009) ; 26886 (0.008) ; 43206 (0.008) ; 90504 (0.008) ; 22209 (0.008) ; 29883 (0.008) ; 
