12 documents , 1 concepts , 186 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 7, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  104429 (0.651) ; 71585 (0.272) ; 15609 (0.025) ; 48436 (0.023) ; 94365 (0.012) ; 77030 (0.009) ; 15121 (0.001) ; 103957 (0.001) ; 4536 (0.001) ; 84552 (0.001) ; 

0.022004779642000975   T=0,K=3:  114753 (0.119) ; nlsj56179 (0.068) ; 58444 (0.067) ; 45996 (0.057) ; 5131 (0.052) ; 1377 (0.044) ; 2731 (0.044) ; 92927 (0.038) ; 86219 (0.034) ; 116470 (0.033) ; 
0.4643062808715884   T=1,K=3:  nlsj56179 (0.084) ; 114753 (0.082) ; 92927 (0.055) ; 58444 (0.054) ; 5131 (0.044) ; 1377 (0.043) ; 2731 (0.041) ; 86219 (0.038) ; 26114 (0.038) ; 116470 (0.034) ; 
0.017802817969692134   T=2,K=3:  nlsj56179 (0.086) ; 58444 (0.069) ; 114753 (0.061) ; 92927 (0.049) ; 26114 (0.048) ; 86112 (0.046) ; 5131 (0.038) ; 96106 (0.036) ; 45996 (0.036) ; 79223 (0.030) ; 
0.005314749586312992   T=3,K=3:  58444 (0.070) ; nlsj56179 (0.062) ; 86112 (0.058) ; 92927 (0.056) ; 26114 (0.046) ; 72268 (0.040) ; 113711 (0.040) ; 114753 (0.039) ; 5131 (0.034) ; 96106 (0.034) ; 
0.06886070217360933   T=4,K=3:  nlsj56179 (0.072) ; 58444 (0.067) ; 92927 (0.062) ; 113711 (0.044) ; 114753 (0.043) ; 45996 (0.040) ; 86112 (0.039) ; 96106 (0.039) ; 26114 (0.038) ; 5131 (0.034) ; 
0.14091164814050353   T=5,K=3:  92927 (0.081) ; nlsj56179 (0.075) ; 58444 (0.070) ; 86112 (0.054) ; 72268 (0.053) ; 113711 (0.051) ; 45996 (0.039) ; 96106 (0.038) ; 116244 (0.027) ; 2731 (0.026) ; 
0.0651211577542287   T=6,K=3:  58444 (0.081) ; nlsj56179 (0.064) ; 86112 (0.061) ; 113711 (0.058) ; 72268 (0.054) ; 92927 (0.042) ; 96106 (0.039) ; 114753 (0.034) ; 86219 (0.033) ; 45996 (0.029) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  nlsj56179 (0.073) ; 58444 (0.068) ; 114753 (0.058) ; 92927 (0.055) ; 86112 (0.045) ; 45996 (0.038) ; 5131 (0.035) ; 113711 (0.035) ; 26114 (0.034) ; 72268 (0.034) ; 

0.011366826496705458   T=0,K=4:  110598 (0.156) ; 8909 (0.093) ; 46195 (0.089) ; nlsj80958 (0.085) ; 22209 (0.073) ; 20674 (0.046) ; 10056 (0.041) ; 61925 (0.040) ; 56810 (0.040) ; 75954 (0.038) ; 
0.001203745853328081   T=1,K=4:  110598 (0.166) ; nlsj80958 (0.098) ; 20674 (0.070) ; 46195 (0.058) ; 22209 (0.058) ; 8909 (0.054) ; 96981 (0.046) ; 61925 (0.044) ; 10056 (0.044) ; 57466 (0.033) ; 
0.0005614435896290328   T=2,K=4:  110598 (0.252) ; 56810 (0.064) ; nlsj80958 (0.056) ; 46195 (0.049) ; 20674 (0.048) ; 8909 (0.047) ; 96981 (0.045) ; 22209 (0.041) ; 10056 (0.039) ; 61925 (0.037) ; 
0.0001146897285892627   T=3,K=4:  110598 (0.140) ; 8909 (0.109) ; 57466 (0.053) ; 20674 (0.052) ; 22209 (0.051) ; 10056 (0.048) ; 97252 (0.044) ; 96981 (0.044) ; 26032 (0.044) ; 46195 (0.039) ; 
