1842 documents , 1 concepts , 4828 context features (114548) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.10292887463509623   T=10,K=1:  72627 (0.009) ; 86219 (0.008) ; 8909 (0.006) ;  (0.006) ; 110639 (0.005) ; 45996 (0.005) ; 38547 (0.005) ; 28566 (0.005) ; 52571 (0.004) ; 11583 (0.004) ; 
0.02982620338567743   T=11,K=1:  86219 (0.011) ; 72627 (0.007) ; 8665 (0.006) ; 110639 (0.005) ; 74752 (0.005) ; 11583 (0.005) ; 52571 (0.003) ; 114615 (0.003) ; 80043 (0.003) ; 28566 (0.003) ; 
0.012337667488793782   T=12,K=1:  72627 (0.009) ; 86219 (0.009) ; 8665 (0.008) ; 110639 (0.007) ; 11583 (0.005) ; 74752 (0.005) ; 114615 (0.004) ; 24999 (0.004) ; 30790 (0.004) ; 48291 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:   (0.016) ; 45996 (0.016) ; 28566 (0.010) ; 85306 (0.008) ; 63772 (0.005) ; 22209 (0.005) ; 71308 (0.004) ; 86219 (0.004) ; 11583 (0.004) ; 86112 (0.004) ; 

0.07765170106462797   T=0,K=2:  47601 (0.001) ; 84234 (0.001) ; 56496 (0.001) ; 34397 (0.001) ; 47007 (0.001) ; 65552 (0.001) ; 73083 (0.001) ; 20213 (0.001) ; 96568 (0.001) ; 94720 (0.001) ; 
0.10391808605743291   T=1,K=2:  84234 (0.002) ; 56496 (0.002) ; 20621 (0.002) ; 65552 (0.002) ; 47007 (0.002) ; 8909 (0.002) ; 11810 (0.002) ; 67496 (0.002) ; 64961 (0.002) ; 16051 (0.001) ; 
0.10939920044606774   T=2,K=2:  67496 (0.005) ; 84234 (0.004) ;  (0.004) ; 65552 (0.003) ; 20621 (0.003) ; 56496 (0.003) ; 8909 (0.003) ; 8665 (0.002) ; 47007 (0.002) ; 94720 (0.002) ; 
0.10030856180296312   T=3,K=2:   (0.010) ; 84234 (0.007) ; 11583 (0.004) ; 114753 (0.004) ; 62204 (0.004) ; 47007 (0.004) ; 83665 (0.004) ; 98329 (0.003) ; nlsj59172 (0.003) ; 65552 (0.003) ; 
0.09617615748158005   T=4,K=2:   (0.032) ; 11583 (0.014) ; 84234 (0.008) ; 66342 (0.006) ; 62204 (0.005) ; 26447 (0.004) ; nlsj76838 (0.004) ; 65552 (0.004) ; 85306 (0.004) ; 114753 (0.004) ; 
0.09789675817828236   T=5,K=2:   (0.035) ; 84234 (0.014) ; 66342 (0.009) ; 62204 (0.007) ; 83665 (0.006) ; nlsj61372 (0.005) ; 45996 (0.005) ; 8665 (0.004) ; 85306 (0.004) ; 98358 (0.004) ; 
0.07069000105903042   T=6,K=2:   (0.044) ; 45996 (0.013) ; 66342 (0.012) ; 84234 (0.012) ; 62204 (0.008) ; 83665 (0.008) ; 84494 (0.008) ; 85306 (0.006) ; 8665 (0.006) ; 71308 (0.006) ; 
0.12027565612515924   T=7,K=2:   (0.052) ; 45996 (0.019) ; 84494 (0.013) ; 90504 (0.013) ; 85306 (0.011) ; 84234 (0.011) ; 71308 (0.009) ; 83665 (0.008) ; 66342 (0.008) ; 62204 (0.007) ; 
0.08180272648358362   T=8,K=2:   (0.032) ; 45996 (0.019) ; 84234 (0.019) ; 85306 (0.015) ; 71308 (0.013) ; 84494 (0.012) ; 63724 (0.012) ; 75552 (0.012) ; 84422 (0.010) ; 6616 (0.009) ; 
0.10736326150622202   T=9,K=2:  75552 (0.025) ;  (0.022) ; 71308 (0.017) ; 63772 (0.013) ; 86112 (0.011) ; 84234 (0.010) ; 22209 (0.009) ; 105829 (0.007) ; 27847 (0.007) ; 85306 (0.007) ; 
0.09885727261436572   T=10,K=2:  75552 (0.016) ;  (0.007) ; 105829 (0.007) ; 67762 (0.007) ; 24292 (0.007) ; 71308 (0.006) ; 28566 (0.006) ; 260 (0.006) ; 22209 (0.005) ; 72627 (0.005) ; 
0.13384304568240474   T=11,K=2:  75552 (0.018) ; 67762 (0.010) ; 24292 (0.009) ; 260 (0.007) ; 28566 (0.007) ; 72627 (0.005) ; 86112 (0.004) ; 71308 (0.004) ; 28592 (0.004) ; 51701 (0.004) ; 
0.13882087409300858   T=12,K=2:  24292 (0.018) ; 75552 (0.013) ; 260 (0.012) ; 28566 (0.011) ; 67762 (0.005) ; 28592 (0.005) ; 71308 (0.005) ; 75156 (0.004) ; 72627 (0.004) ; 105829 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:   (0.019) ; 84234 (0.007) ; 75552 (0.007) ; 45996 (0.005) ; 71308 (0.005) ; 85306 (0.005) ; 66342 (0.004) ; 24292 (0.004) ; 62204 (0.004) ; 84494 (0.003) ; 

0.026989507391397327   T=0,K=3:  11709 (0.001) ; 76742 (0.001) ; nlsj4895 (0.001) ; 31333 (0.001) ; 41416 (0.001) ; 28101 (0.001) ; 23726 (0.001) ; 55544 (0.001) ; 83945 (0.001) ; 61791 (0.001) ; 
0.04998474976443835   T=1,K=3:  41416 (0.002) ; 90504 (0.002) ; 114753 (0.002) ; nlsj4895 (0.001) ;  (0.001) ; 31333 (0.001) ; 61791 (0.001) ; 51849 (0.001) ; 69292 (0.001) ; 25018 (0.001) ; 
0.06641986053510641   T=2,K=3:   (0.005) ; 90504 (0.003) ; 45996 (0.003) ; nlsj61372 (0.003) ; 2654 (0.002) ; 114753 (0.002) ; 61791 (0.002) ; 67260 (0.002) ; 41416 (0.002) ; 74735 (0.002) ; 
0.09510755459535356   T=3,K=3:   (0.023) ; 22209 (0.007) ; nlsj61372 (0.007) ; 90504 (0.006) ; 45996 (0.005) ; nlsj32160 (0.005) ; 84434 (0.005) ; 49875 (0.004) ; 33618 (0.004) ; 52332 (0.004) ; 
0.07327460546112938   T=4,K=3:  33618 (0.018) ;  (0.017) ; nlsj32160 (0.014) ; 84234 (0.014) ; 84434 (0.012) ; 90504 (0.011) ; 49875 (0.010) ; 22209 (0.009) ; 52332 (0.007) ; 62204 (0.007) ; 
0.08510011484536405   T=5,K=3:   (0.022) ; 84234 (0.015) ; 22209 (0.011) ; 49875 (0.010) ; 62204 (0.009) ; 85306 (0.008) ; nlsj76838 (0.008) ; 52332 (0.007) ; 84434 (0.007) ; 6330 (0.007) ; 
0.05405398295460453   T=6,K=3:  84234 (0.032) ;  (0.019) ; 85306 (0.016) ; 45996 (0.015) ; nlsj76838 (0.011) ; 22209 (0.011) ; 62204 (0.008) ; nlsj32160 (0.007) ; 114548 (0.007) ; 49875 (0.007) ; 
0.13081632112924532   T=7,K=3:  85306 (0.037) ;  (0.033) ; 45996 (0.021) ; nlsj76838 (0.018) ; 84234 (0.018) ; 74126 (0.018) ; nlsj32160 (0.012) ; 22209 (0.011) ; 63772 (0.008) ; 48291 (0.007) ; 
0.11780307886599041   T=8,K=3:  85306 (0.060) ;  (0.060) ; nlsj76838 (0.033) ; 63772 (0.032) ; 48291 (0.023) ; 22209 (0.022) ; 45996 (0.021) ; 8665 (0.016) ; nlsj32160 (0.016) ; 16051 (0.015) ; 
0.06134988078973562   T=9,K=3:   (0.024) ; 85306 (0.020) ; 22209 (0.014) ; nlsj76838 (0.014) ; 48291 (0.014) ; 8665 (0.012) ; 68641 (0.009) ; 43206 (0.009) ; 63772 (0.007) ; nlsj32160 (0.006) ; 
0.11370162105329384   T=10,K=3:  8665 (0.010) ;  (0.009) ; 22209 (0.008) ; 48291 (0.008) ; 43206 (0.006) ; nlsj76838 (0.006) ; 110456 (0.005) ; 68641 (0.005) ; 79223 (0.004) ; 22100 (0.004) ; 
0.04951840897830427   T=11,K=3:  8665 (0.006) ; 22209 (0.005) ; 110456 (0.005) ;  (0.005) ; 48291 (0.004) ; nlsj76838 (0.004) ; 84494 (0.004) ; 104429 (0.004) ; 43206 (0.004) ; nlsj32160 (0.003) ; 
0.08382504567940706   T=12,K=3:  104429 (0.006) ; 22209 (0.005) ;  (0.005) ; 110456 (0.005) ; 8665 (0.004) ; nlsj76838 (0.004) ; 30790 (0.004) ; 84494 (0.004) ; 48291 (0.003) ; 43206 (0.003) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:   (0.017) ; 85306 (0.012) ; 22209 (0.008) ; 84234 (0.008) ; nlsj76838 (0.008) ; 45996 (0.007) ; nlsj32160 (0.006) ; 48291 (0.005) ; 63772 (0.005) ; 8665 (0.004) ; 

0.028832219913593405   T=0,K=4:  nlsj29804 (0.001) ; 82665 (0.001) ; 113946 (0.001) ; 61791 (0.001) ; 59034 (0.001) ; 90504 (0.001) ; 56991 (0.001) ; 64448 (0.001) ; 85654 (0.001) ; 64866 (0.001) ; 
0.041043186512645796   T=1,K=4:  116416 (0.002) ; 85654 (0.002) ; 85306 (0.002) ; 64866 (0.002) ; 82665 (0.001) ; 33819 (0.001) ; nlsj107632 (0.001) ; 17075 (0.001) ; 72273 (0.001) ; 39550 (0.001) ; 
0.05141283399464297   T=2,K=4:  116416 (0.006) ; 85306 (0.005) ; nlsj107632 (0.004) ; 72273 (0.003) ; 84234 (0.003) ; 82665 (0.003) ; 115193 (0.003) ; 90504 (0.002) ; nlsj71743 (0.002) ; 85654 (0.002) ; 
0.09019953396617345   T=3,K=4:  116416 (0.008) ; nlsj107632 (0.008) ; 85306 (0.008) ; 64866 (0.006) ; 22209 (0.006) ; 115193 (0.005) ; 84234 (0.005) ; 72273 (0.005) ; nlsj71743 (0.005) ; 86112 (0.004) ; 
0.1114110203341135   T=4,K=4:  22209 (0.020) ; 84494 (0.019) ; 84234 (0.019) ; nlsj107632 (0.018) ; 64866 (0.011) ; 28566 (0.010) ; 65552 (0.009) ; nlsj71743 (0.007) ; 61885 (0.006) ; 113388 (0.005) ; 
0.11391981440583529   T=5,K=4:  84494 (0.027) ; 22209 (0.012) ; 65552 (0.012) ; 84234 (0.010) ; 64866 (0.010) ; nlsj76838 (0.007) ; nlsj107632 (0.006) ; 28566 (0.006) ; 47007 (0.005) ; nlsj71743 (0.005) ; 
0.06273648164241893   T=6,K=4:  65552 (0.023) ; 84494 (0.019) ; 84234 (0.019) ; 64866 (0.016) ; 22209 (0.012) ; 85306 (0.011) ; nlsj71743 (0.008) ; nlsj76838 (0.007) ; 28566 (0.006) ; 74767 (0.006) ; 
0.07092459095728917   T=7,K=4:  84234 (0.028) ; 65552 (0.024) ; 85306 (0.023) ; 64866 (0.015) ; 84494 (0.013) ; 45996 (0.011) ; nlsj76838 (0.010) ; nlsj56179 (0.010) ; 22209 (0.010) ; 90504 (0.009) ; 
0.09717153158962   T=8,K=4:   (0.054) ; 85306 (0.049) ; 45996 (0.032) ; 65552 (0.029) ; 84234 (0.019) ; nlsj56179 (0.018) ; 63772 (0.017) ; 75552 (0.016) ; 1564 (0.015) ; 61791 (0.015) ; 
0.11780755512765165   T=9,K=4:   (0.061) ; 84494 (0.031) ; 68641 (0.023) ; 85306 (0.016) ; 84234 (0.012) ; 45996 (0.012) ; nlsj76838 (0.011) ; 75552 (0.010) ; 63772 (0.009) ; 52571 (0.009) ; 
0.07562153064705458   T=10,K=4:   (0.068) ; 84234 (0.015) ; 63772 (0.012) ; 52571 (0.009) ; 68641 (0.009) ; nlsj76838 (0.009) ; 85306 (0.007) ; 45996 (0.005) ; 84494 (0.005) ; 51647 (0.005) ; 
0.15664231608305149   T=11,K=4:  84234 (0.013) ; nlsj76838 (0.008) ;  (0.008) ; 85306 (0.006) ; 63772 (0.006) ; 52571 (0.006) ; 62204 (0.006) ; 51647 (0.006) ; 26886 (0.005) ; 68641 (0.004) ; 
0.15296591564665526   T=12,K=4:  84234 (0.014) ; 63772 (0.008) ;  (0.008) ; 62204 (0.007) ; 68641 (0.007) ; 85306 (0.006) ; nlsj76838 (0.006) ; 52571 (0.006) ; 112934 (0.004) ; nlsj107632 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:   (0.016) ; 84234 (0.012) ; 85306 (0.011) ; 84494 (0.010) ; 65552 (0.009) ; 64866 (0.006) ; nlsj107632 (0.006) ; 45996 (0.006) ; nlsj76838 (0.006) ; 22209 (0.006) ; 

0.1051648188364074   T=0,K=5:  22739 (0.002) ; 114753 (0.002) ; 31161 (0.001) ; 78950 (0.001) ; 67260 (0.001) ; 110422 (0.001) ; 4962 (0.001) ; nlsj5527 (0.001) ; 101538 (0.001) ; 112794 (0.001) ; 
0.2302949988183506   T=1,K=5:  114753 (0.003) ; 31161 (0.002) ; 112794 (0.002) ; 114548 (0.002) ; 71037 (0.002) ; 22739 (0.002) ; 4962 (0.002) ; 110422 (0.002) ; 26886 (0.002) ; 70364 (0.002) ; 
0.23145272949967421   T=2,K=5:  114753 (0.006) ; 114548 (0.006) ; nlsj76838 (0.005) ; 70364 (0.004) ; 31161 (0.003) ; 26886 (0.003) ; 105344 (0.002) ; 18107 (0.002) ; 22209 (0.002) ; 45996 (0.002) ; 
0.156708810106382   T=3,K=5:  114753 (0.018) ; nlsj76838 (0.017) ; 114548 (0.010) ;  (0.007) ; 84494 (0.007) ; 75552 (0.006) ; 85306 (0.005) ; 115212 (0.005) ; 22209 (0.004) ; 65552 (0.004) ; 
0.10218196302776934   T=4,K=5:  nlsj76838 (0.036) ; 114753 (0.031) ; 28566 (0.022) ;  (0.020) ; 84494 (0.017) ; 75552 (0.017) ; 85306 (0.012) ; 66342 (0.008) ; 65552 (0.007) ; 43206 (0.007) ; 
0.12190846051887794   T=5,K=5:  84494 (0.016) ;  (0.014) ; 45996 (0.010) ; 114753 (0.010) ; nlsj76838 (0.009) ; 52035 (0.008) ; 28566 (0.008) ; 65552 (0.006) ; 45948 (0.006) ; 15893 (0.006) ; 
0.0602451206689881   T=6,K=5:  45996 (0.019) ;  (0.015) ; 84494 (0.015) ; 15893 (0.010) ; 65552 (0.010) ; 28566 (0.007) ; nlsj76838 (0.007) ; 52035 (0.007) ; 84234 (0.006) ; 43206 (0.006) ; 
0.05259335340469905   T=7,K=5:   (0.030) ; 45996 (0.027) ; 84494 (0.022) ; 84234 (0.014) ; 86112 (0.011) ; 43206 (0.009) ; 8909 (0.008) ; 85306 (0.007) ; 31565 (0.007) ; 110639 (0.007) ; 
