2299 documents , 1 concepts , 4352 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.12078239359645934   T=9,K=1:  85306 (0.026) ; 65552 (0.014) ; 63772 (0.011) ; 22209 (0.011) ; 23726 (0.010) ; 80557 (0.010) ; 86112 (0.010) ; 84234 (0.008) ; 104429 (0.008) ; 19972 (0.007) ; 
0.11888536828650292   T=10,K=1:  85306 (0.017) ; 65552 (0.012) ; 104429 (0.011) ; 86112 (0.010) ; 22209 (0.010) ; 63772 (0.009) ; 75552 (0.008) ; 26412 (0.008) ; 110639 (0.008) ; 23726 (0.008) ; 
0.08465368096375304   T=11,K=1:  85306 (0.017) ; 26412 (0.012) ; 74735 (0.012) ; 75552 (0.010) ; 26886 (0.010) ; 80043 (0.009) ; 23726 (0.009) ; nlsj32160 (0.008) ; 31161 (0.008) ; 86112 (0.008) ; 
0.15370111713014784   T=12,K=1:  26412 (0.021) ; 23726 (0.016) ; 85306 (0.014) ; 26886 (0.012) ; 74735 (0.012) ; 45996 (0.011) ; 86112 (0.010) ; 75552 (0.009) ; 65552 (0.009) ; 46802 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  84494 (0.015) ; 85306 (0.012) ; 86219 (0.011) ; 75552 (0.010) ; 62204 (0.010) ; 63772 (0.009) ; 27847 (0.009) ; 86112 (0.008) ; 65552 (0.008) ; 84234 (0.008) ; 

0.010807386249390812   T=0,K=2:  11583 (0.059) ; 86219 (0.051) ; 8665 (0.037) ; 84234 (0.025) ; 68641 (0.018) ; 85306 (0.016) ; 114624 (0.014) ; 8909 (0.013) ; 62204 (0.013) ; 109757 (0.010) ; 
0.0244524577210469   T=1,K=2:  8665 (0.047) ; 11583 (0.047) ; 86219 (0.037) ; 85306 (0.017) ; 68641 (0.016) ; 84234 (0.014) ; 62204 (0.013) ; 114624 (0.013) ; 8909 (0.013) ; 90504 (0.012) ; 
0.12635496645566724   T=2,K=2:  8665 (0.048) ; 11583 (0.034) ; 62204 (0.022) ; 86219 (0.020) ; 85306 (0.018) ; 72627 (0.015) ; 8909 (0.013) ; 114624 (0.012) ; 110598 (0.011) ; 26943 (0.011) ; 
0.15218572575528336   T=3,K=2:  8665 (0.032) ; 11583 (0.022) ; 84494 (0.017) ; 85306 (0.016) ; 62204 (0.015) ; 26943 (0.013) ; 8909 (0.012) ; 72627 (0.011) ; 86219 (0.011) ; 68641 (0.011) ; 
