262 documents , 1 concepts , 1424 context features (93711) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.1639433897327941   T=10,K=1:  22209 (0.088) ; 21401 (0.021) ; 110114 (0.020) ; nlsj75153 (0.016) ; 40302 (0.016) ; 86305 (0.015) ; 42155 (0.014) ; 64866 (0.014) ; 60061 (0.013) ; 43206 (0.013) ; 
0.11119296252502027   T=11,K=1:  22209 (0.063) ; 43206 (0.021) ; 64866 (0.018) ; 21401 (0.018) ; 40302 (0.017) ; 68262 (0.017) ; 110114 (0.016) ; nlsj75153 (0.015) ; 729 (0.015) ; 93711 (0.015) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  22209 (0.038) ; 21401 (0.038) ;  (0.025) ; 42155 (0.019) ; 112002 (0.018) ; 729 (0.017) ; 42827 (0.017) ; 43206 (0.015) ; 61791 (0.014) ; nlsj32167 (0.014) ; 

0.0017861953497152697   T=0,K=2:  nlsj76838 (0.078) ; 42827 (0.037) ; 22019 (0.037) ; 69469 (0.035) ; 48291 (0.028) ; 62205 (0.027) ; 11076 (0.026) ; 31192 (0.025) ; 35642 (0.018) ; 64914 (0.017) ; 
0.0015106638402935422   T=1,K=2:  nlsj76838 (0.093) ; 35642 (0.039) ; 69469 (0.035) ; 22019 (0.034) ; 42827 (0.026) ; 11076 (0.021) ; 48291 (0.021) ; 64914 (0.020) ; 31192 (0.019) ; nlsj38009 (0.018) ; 
0.007074469845483392   T=2,K=2:  nlsj76838 (0.058) ; 35642 (0.051) ; 11076 (0.031) ; 69469 (0.031) ; 22019 (0.031) ; 42827 (0.028) ; nlsj38009 (0.025) ; 48291 (0.020) ; 31192 (0.020) ; 64914 (0.018) ; 
0.11452139113548597   T=3,K=2:  nlsj76838 (0.048) ; 42827 (0.036) ; 35642 (0.034) ; 69469 (0.032) ; 64914 (0.024) ; 48291 (0.023) ; nlsj38009 (0.021) ; 31192 (0.021) ; 22019 (0.020) ; 11076 (0.019) ; 
0.054044240450744074   T=4,K=2:  42827 (0.033) ; nlsj76838 (0.031) ; 103701 (0.028) ; 69469 (0.026) ; 22019 (0.025) ; 35642 (0.024) ; 64914 (0.023) ; 48291 (0.019) ; 11076 (0.018) ; nlsj38009 (0.018) ; 
0.08625477729736357   T=5,K=2:  103701 (0.034) ; 31192 (0.031) ; 42827 (0.029) ; 64914 (0.025) ; 35642 (0.024) ; nlsj76838 (0.024) ; 11076 (0.019) ; nlsj38009 (0.018) ; 69469 (0.018) ; 47928 (0.017) ; 
0.1802280481899456   T=6,K=2:  31192 (0.039) ; nlsj76838 (0.033) ; 73672 (0.028) ; 103701 (0.027) ; 35642 (0.023) ; 42827 (0.022) ; 64914 (0.018) ; 62204 (0.016) ; 114615 (0.015) ; 74126 (0.015) ; 
0.14102524181248724   T=7,K=2:  31192 (0.025) ; nlsj76838 (0.022) ; 73672 (0.021) ; 35642 (0.021) ; 103701 (0.021) ; 62204 (0.021) ; 64914 (0.019) ; 114615 (0.017) ; 74126 (0.017) ; 29787 (0.017) ; 
0.0506737017810933   T=8,K=2:  74126 (0.028) ; 73672 (0.028) ; 62204 (0.024) ; 31192 (0.023) ; nlsj76838 (0.022) ; 104225 (0.019) ; 42827 (0.017) ; 35642 (0.017) ; 114615 (0.016) ; 103701 (0.015) ; 
0.03399699921728243   T=9,K=2:  74126 (0.032) ; 73672 (0.028) ; 62204 (0.026) ; 31192 (0.023) ; 104225 (0.021) ; 89321 (0.020) ; 103701 (0.020) ; 114615 (0.019) ; 70364 (0.018) ; nlsj76838 (0.018) ; 
0.034607503802312506   T=10,K=2:  104225 (0.035) ; 73672 (0.032) ; 103701 (0.032) ; 89321 (0.031) ; 31192 (0.023) ; 114615 (0.022) ; 70364 (0.021) ; 74126 (0.020) ; 40156 (0.018) ; 62204 (0.016) ; 
0.028866681927288248   T=11,K=2:  89321 (0.038) ; 62204 (0.035) ; 103701 (0.033) ; 104225 (0.030) ; 73672 (0.030) ; 40156 (0.025) ; 114615 (0.023) ; 31192 (0.020) ; 70364 (0.018) ; 52035 (0.017) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  nlsj76838 (0.038) ; 31192 (0.024) ; 35642 (0.024) ; 42827 (0.023) ; 103701 (0.022) ; 73672 (0.021) ; 62204 (0.019) ; 69469 (0.018) ; 22019 (0.017) ; 64914 (0.016) ; 

0.018252365926612214   T=0,K=3:  65552 (0.066) ; 67543 (0.052) ; 103972 (0.050) ; nlsj61372 (0.024) ; 44534 (0.022) ; 8665 (0.019) ; 85306 (0.018) ; 13039 (0.016) ; 22209 (0.014) ; 113900 (0.013) ; 
