135 documents , 1 concepts , 716 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -354, end 363, times 8, dT 100, I 1000


map[]

===============  per type  ===============
0.02771503941758301   T=1,K=2:  115193 (0.066) ; 8909 (0.049) ; 7618 (0.047) ; 103248 (0.045) ; 102000 (0.039) ; 63724 (0.033) ; 50824 (0.030) ; 106094 (0.028) ; 10221 (0.027) ; 86219 (0.027) ; 
0.002480647745458465   T=2,K=2:  103248 (0.054) ; 115193 (0.052) ; 7618 (0.043) ; 10221 (0.038) ; 8909 (0.035) ; 102000 (0.033) ; 106094 (0.031) ; 63724 (0.030) ; nlsj61373 (0.026) ; 83458 (0.023) ; 
0.017956163940286398   T=3,K=2:  10221 (0.061) ; 7618 (0.052) ; nlsj61373 (0.046) ; 115193 (0.041) ; 8909 (0.039) ; 103248 (0.037) ; 102000 (0.030) ; 106094 (0.026) ; 83458 (0.025) ; 86219 (0.024) ; 
0.035432692030042665   T=4,K=2:  7618 (0.051) ; 83458 (0.051) ; 8909 (0.045) ; 10221 (0.044) ; 102000 (0.041) ; 103248 (0.038) ; 115193 (0.032) ; nlsj107632 (0.028) ; 89366 (0.027) ; 38245 (0.025) ; 
0.24053125986205254   T=5,K=2:  103248 (0.058) ; 83458 (0.056) ; 115193 (0.050) ; 8909 (0.040) ; 7618 (0.038) ; 102000 (0.033) ; nlsj107632 (0.032) ; 10221 (0.028) ; nlsj61373 (0.028) ; 89366 (0.028) ; 
0.04509225696901285   T=6,K=2:  83458 (0.079) ; 103248 (0.057) ; 115193 (0.051) ; nlsj107632 (0.050) ; 8909 (0.044) ; 7618 (0.037) ; 100693 (0.034) ; 102000 (0.033) ; 89366 (0.024) ; 38245 (0.022) ; 
0.003972468997216838   T=7,K=2:  83458 (0.082) ; nlsj107632 (0.059) ; 100693 (0.057) ; 115193 (0.055) ; 8909 (0.044) ; 103248 (0.039) ; 7618 (0.037) ; 102000 (0.031) ; 89366 (0.028) ; 1564 (0.025) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  115193 (0.053) ; 103248 (0.046) ; 83458 (0.045) ; 8909 (0.042) ; 7618 (0.042) ; 102000 (0.034) ; 10221 (0.033) ; nlsj107632 (0.028) ; 100693 (0.024) ; nlsj61373 (0.023) ; 

0.0018359922479289077   T=0,K=3:  31236 (0.149) ; 11760 (0.125) ; 37885 (0.064) ; 110639 (0.051) ; 4083 (0.048) ; 8909 (0.042) ; 44511 (0.037) ; nlsj61217 (0.034) ; nlsj71743 (0.033) ; 41858 (0.031) ; 
0.0018378531727158865   T=1,K=3:  31236 (0.157) ; 11760 (0.143) ; 41858 (0.051) ; 37885 (0.049) ; 110639 (0.041) ; 101959 (0.039) ; 8909 (0.036) ; nlsj61217 (0.035) ; 4083 (0.033) ; 84248 (0.033) ; 
0.004623601467433133   T=2,K=3:  31236 (0.161) ; 11760 (0.085) ; 41858 (0.053) ; 8909 (0.053) ; 101959 (0.043) ; nlsj71743 (0.040) ; 110639 (0.039) ; 37885 (0.038) ; 44511 (0.034) ; 4083 (0.034) ; 
0.001315872694431644   T=3,K=3:  31236 (0.167) ; 8909 (0.087) ; 11760 (0.068) ; 41858 (0.051) ; 101959 (0.043) ; nlsj71743 (0.043) ; 37720 (0.039) ; nlsj61217 (0.037) ; 110639 (0.030) ; 4083 (0.030) ; 
0.02327730772776521   T=4,K=3:  8909 (0.162) ; 31236 (0.098) ; 11760 (0.068) ; 4083 (0.041) ; 37720 (0.039) ; 41858 (0.035) ; 110639 (0.033) ; 101959 (0.033) ; nlsj61217 (0.030) ; 37885 (0.025) ; 
0.0007650674622910233   T=5,K=3:  8909 (0.179) ; 31236 (0.119) ; 11760 (0.091) ; 4083 (0.043) ; 110639 (0.041) ; 101959 (0.039) ; 37720 (0.036) ; 37885 (0.030) ; 1083 (0.027) ; 44511 (0.024) ; 
0.0018583220798500406   T=6,K=3:  31236 (0.162) ; 8909 (0.103) ; 11760 (0.087) ; 4083 (0.057) ; 44511 (0.037) ; 110639 (0.036) ; 101959 (0.034) ; 37885 (0.033) ; 37720 (0.031) ; 72550 (0.027) ; 
4.9625054188257255e-05   T=7,K=3:  11760 (0.160) ; 31236 (0.126) ; 8909 (0.089) ; 101959 (0.038) ; 44511 (0.036) ; 110639 (0.033) ; 37720 (0.030) ; nlsj61217 (0.028) ; 4083 (0.027) ; 84248 (0.025) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  31236 (0.142) ; 11760 (0.103) ; 8909 (0.094) ; 4083 (0.039) ; 110639 (0.038) ; 37885 (0.036) ; 101959 (0.036) ; 41858 (0.036) ; 37720 (0.031) ; 44511 (0.030) ; 

5.958958123635882e-05   T=0,K=4:  115887 (0.149) ; 90504 (0.074) ; 103871 (0.062) ; 28569 (0.054) ; 14181 (0.052) ; 75005 (0.049) ; 55361 (0.043) ; 104355 (0.040) ; 6840 (0.032) ; 105550 (0.030) ; 
0.004082257461110344   T=1,K=4:  115887 (0.161) ; 28569 (0.064) ; 105550 (0.059) ; 103871 (0.046) ; 55361 (0.044) ; 104355 (0.040) ; 14181 (0.038) ; 6840 (0.037) ; 75005 (0.035) ; 90504 (0.030) ; 
0.00020876521368001647   T=2,K=4:  115887 (0.091) ; 28569 (0.063) ; 103871 (0.050) ; 55361 (0.048) ; 105550 (0.047) ; 6840 (0.045) ; 104355 (0.045) ; 75005 (0.037) ; 14181 (0.035) ; 22542 (0.033) ; 
0.005184183748730645   T=3,K=4:  115887 (0.067) ; 6840 (0.061) ; 105550 (0.059) ; 14181 (0.058) ; 104355 (0.047) ; 55361 (0.043) ; 2670 (0.042) ; 28569 (0.040) ; 90504 (0.040) ; 22542 (0.033) ; 
0.07089908095729588   T=4,K=4:  6840 (0.133) ; 105550 (0.083) ; 115887 (0.068) ; 104355 (0.043) ; 14181 (0.043) ; 43206 (0.041) ; 2670 (0.040) ; 90504 (0.031) ; 55361 (0.028) ; 112070 (0.026) ; 
0.010689940354476842   T=5,K=4:  105550 (0.113) ; 115887 (0.078) ; 6840 (0.059) ; 2670 (0.059) ; 104355 (0.044) ; 43206 (0.043) ; 55361 (0.032) ; 112070 (0.031) ; 76029 (0.031) ; 14181 (0.030) ; 
0.004049454727622167   T=6,K=4:  105550 (0.124) ; 115887 (0.084) ; 43206 (0.067) ; 2670 (0.056) ; 104355 (0.053) ; 6840 (0.051) ; 102000 (0.039) ; 112070 (0.036) ; 55361 (0.031) ; 76029 (0.029) ; 
0.000957447362218633   T=7,K=4:  2670 (0.100) ; 115887 (0.092) ; 105550 (0.085) ; 6840 (0.083) ; 43206 (0.059) ; 102000 (0.047) ; 104355 (0.036) ; 66746 (0.028) ; 28569 (0.026) ; 112070 (0.026) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  115887 (0.099) ; 105550 (0.075) ; 6840 (0.063) ; 2670 (0.047) ; 104355 (0.044) ; 28569 (0.038) ; 43206 (0.037) ; 55361 (0.037) ; 14181 (0.037) ; 90504 (0.033) ; 

0.00040719374764187303   T=0,K=5:  102000 (0.142) ; 63772 (0.042) ; 90504 (0.041) ; nlsj76838 (0.036) ; 57460 (0.033) ; 89485 (0.027) ; 70039 (0.024) ; 62204 (0.024) ; 59339 (0.021) ; 65755 (0.020) ; 
0.12929126330385624   T=1,K=5:  102000 (0.089) ; 90504 (0.049) ; 89485 (0.042) ; 63772 (0.042) ; nlsj76838 (0.036) ; 65755 (0.033) ; 70039 (0.025) ; 88094 (0.024) ; nlsj40132 (0.024) ; 45996 (0.024) ; 
0.06177421239364928   T=2,K=5:  102000 (0.061) ; nlsj76838 (0.054) ; 90504 (0.053) ; 65755 (0.039) ; 89485 (0.031) ; nlsj40132 (0.029) ; 63772 (0.028) ; 70188 (0.025) ; 70039 (0.022) ; 66494 (0.021) ; 
0.05890317570943285   T=3,K=5:  90504 (0.067) ; 102000 (0.056) ; nlsj76838 (0.040) ; 112720 (0.032) ; 65755 (0.031) ; 89485 (0.028) ; 63772 (0.027) ; 62204 (0.026) ; nlsj40132 (0.026) ; 70188 (0.022) ; 
0.14024218620111253   T=4,K=5:  112720 (0.044) ; 63772 (0.038) ; 102000 (0.036) ; 90504 (0.031) ; 62204 (0.027) ; 70188 (0.027) ; 65755 (0.025) ; nlsj76838 (0.025) ; 110114 (0.024) ; 64316 (0.023) ; 
0.07480839083872287   T=5,K=5:  102000 (0.042) ; 63772 (0.037) ; 112720 (0.034) ; nlsj76838 (0.032) ; 90504 (0.031) ; 67250 (0.028) ; 66494 (0.027) ; 59339 (0.025) ; nlsj852 (0.025) ; 110606 (0.022) ; 
0.01128564107107742   T=6,K=5:  102000 (0.048) ; 112720 (0.040) ; 59339 (0.038) ; 67250 (0.036) ; nlsj852 (0.031) ; 63772 (0.029) ; 64316 (0.029) ; 65755 (0.027) ; 62204 (0.026) ; nlsj76838 (0.026) ; 
0.002069180040382312   T=7,K=5:  59339 (0.050) ; 102000 (0.044) ; 112720 (0.041) ; 62204 (0.036) ; 67250 (0.033) ; 110606 (0.027) ; 2534 (0.026) ; 63772 (0.024) ; 66494 (0.024) ; 65755 (0.022) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  102000 (0.065) ; 90504 (0.039) ; nlsj76838 (0.034) ; 63772 (0.033) ; 112720 (0.029) ; 65755 (0.027) ; 59339 (0.025) ; 62204 (0.025) ; 89485 (0.023) ; 66494 (0.020) ; 

0.03730754454853206   T=0,K=6:  4845 (0.094) ; 80011 (0.073) ; 16686 (0.059) ; 84234 (0.057) ; 14565 (0.052) ; 41814 (0.049) ; 54536 (0.047) ; 59708 (0.044) ; 7561 (0.041) ; 31333 (0.037) ; 
0.034449719501969074   T=1,K=6:  4845 (0.088) ; 80011 (0.085) ; 84234 (0.081) ; 41814 (0.066) ; 91950 (0.039) ; 59708 (0.039) ; 24084 (0.038) ; 54536 (0.038) ; 14565 (0.035) ; 7561 (0.032) ; 
0.016174214683935113   T=2,K=6:  84234 (0.088) ; 41814 (0.083) ; 80011 (0.075) ; 4845 (0.065) ; 14565 (0.044) ; 54536 (0.042) ; 91950 (0.038) ; 84494 (0.037) ; 16686 (0.035) ; 31333 (0.033) ; 
0.009611356907158235   T=3,K=6:  41814 (0.120) ; 84234 (0.077) ; 84494 (0.055) ; 4845 (0.049) ; 14565 (0.043) ; 31333 (0.041) ; 54536 (0.041) ; 80011 (0.038) ; 91950 (0.036) ; 106601 (0.033) ; 
0.011353651553889961   T=4,K=6:  41814 (0.109) ; 84234 (0.102) ; 84494 (0.071) ; 4845 (0.058) ; 31333 (0.043) ; 91950 (0.033) ; 14565 (0.032) ; 1587 (0.032) ; 80011 (0.031) ; 7561 (0.029) ; 
0.0008551392489286678   T=5,K=6:  41814 (0.105) ; 84494 (0.093) ; 4845 (0.082) ; 84234 (0.072) ; 80011 (0.046) ; 7561 (0.036) ; 109842 (0.035) ; 31333 (0.035) ; 1587 (0.034) ; 91950 (0.031) ; 
0.00017211199954409758   T=6,K=6:  41814 (0.204) ; 84494 (0.088) ; 80011 (0.057) ; 4845 (0.048) ; 84234 (0.039) ; 16686 (0.036) ; 7561 (0.036) ; 1587 (0.035) ; 91950 (0.033) ; 54217 (0.031) ; 
3.9400744171108707e-07   T=7,K=6:  41814 (0.219) ; 84494 (0.081) ; 4845 (0.061) ; 106601 (0.051) ; 80011 (0.047) ; 1587 (0.042) ; 16686 (0.040) ; 109842 (0.034) ; 84234 (0.028) ; 91950 (0.027) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  41814 (0.119) ; 4845 (0.068) ; 84234 (0.068) ; 84494 (0.060) ; 80011 (0.057) ; 91950 (0.034) ; 16686 (0.033) ; 54536 (0.033) ; 14565 (0.033) ; 7561 (0.033) ; 

0.10690792002489506   T=0,K=7:  86278 (0.099) ; 84494 (0.062) ; 82190 (0.062) ; 50451 (0.055) ; 67068 (0.050) ; 46613 (0.030) ; 16686 (0.028) ; 42155 (0.027) ; nlsj76838 (0.024) ; 30401 (0.023) ; 
0.4766225312689354   T=1,K=7:  86278 (0.073) ; 82190 (0.071) ; 84494 (0.057) ; 50451 (0.054) ; 16686 (0.041) ; 67068 (0.040) ; 46613 (0.033) ; nlsj76838 (0.028) ; 12973 (0.027) ; 42155 (0.025) ; 
0.0053222934112807044   T=2,K=7:  82190 (0.083) ; 86278 (0.059) ; 84494 (0.046) ; 50451 (0.045) ; 67068 (0.043) ; 16686 (0.040) ; 12973 (0.036) ; 28124 (0.034) ; 42155 (0.026) ; 27629 (0.026) ; 
0.029182738625723202   T=3,K=7:  82190 (0.101) ; 86278 (0.070) ; 16686 (0.049) ; 84494 (0.041) ; 65552 (0.040) ; 67068 (0.037) ; 28124 (0.037) ; 42155 (0.027) ; 27629 (0.027) ; 12973 (0.024) ; 
0.049747280639756246   T=4,K=7:  82190 (0.079) ; 86278 (0.054) ; 16686 (0.048) ; 84494 (0.046) ; 27629 (0.039) ; 65552 (0.038) ; 28124 (0.032) ; 3369 (0.031) ; 67068 (0.030) ; 50451 (0.026) ; 
0.029209011941247576   T=5,K=7:  82190 (0.056) ; 84494 (0.048) ; 86278 (0.047) ; 27629 (0.045) ; 67068 (0.038) ; 28124 (0.036) ; 16686 (0.032) ; 65552 (0.030) ; 104421 (0.026) ; 42155 (0.023) ; 
0.0012478078509979864   T=6,K=7:  86278 (0.052) ; 84494 (0.047) ; 27629 (0.043) ; 82190 (0.043) ; 16686 (0.038) ; 28124 (0.035) ; 67068 (0.034) ; 65552 (0.026) ; 3369 (0.025) ; nlsj76838 (0.025) ; 
0.0003482334578759118   T=7,K=7:  84494 (0.082) ; 27629 (0.051) ; 28124 (0.050) ; 86278 (0.049) ; 82190 (0.041) ; 16686 (0.034) ; 42155 (0.023) ; 46648 (0.021) ; 28566 (0.021) ; 88870 (0.020) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:  82190 (0.067) ; 86278 (0.063) ; 84494 (0.054) ; 16686 (0.039) ; 67068 (0.036) ; 27629 (0.033) ; 28124 (0.032) ; 50451 (0.030) ; 65552 (0.027) ; 42155 (0.025) ; 

0.07367133586616867   T=0,K=8:  110639 (0.064) ; 80761 (0.056) ; 21872 (0.052) ; 12349 (0.049) ; 8909 (0.046) ; 48291 (0.036) ; 85056 (0.033) ; 36165 (0.030) ; 106150 (0.029) ; 31236 (0.029) ; 
0.04505249725778577   T=1,K=8:  110639 (0.080) ; 80761 (0.045) ; 8909 (0.042) ; 31236 (0.038) ; 12349 (0.038) ; 21872 (0.035) ; 84295 (0.034) ; 85056 (0.033) ; 36165 (0.024) ; 48291 (0.024) ; 
0.7580408623048648   T=2,K=8:  110639 (0.095) ; 8909 (0.046) ; 85056 (0.038) ; 21872 (0.037) ; 12349 (0.037) ; 80761 (0.029) ; 31236 (0.028) ; 84295 (0.025) ; nlsj6318 (0.025) ; 48291 (0.024) ; 
0.22585424270632093   T=3,K=8:  110639 (0.094) ; 8909 (0.057) ; 110606 (0.041) ; 31236 (0.038) ; 12349 (0.033) ; 21872 (0.032) ; 48291 (0.030) ; 66746 (0.026) ; 80761 (0.021) ; 73277 (0.019) ; 
0.07356709368235982   T=4,K=8:  110639 (0.066) ; 110606 (0.041) ; 8909 (0.036) ; 21872 (0.033) ; 31236 (0.033) ; 66746 (0.030) ; 36165 (0.029) ; 80761 (0.025) ; 48291 (0.023) ; 12349 (0.023) ; 
0.21378343202313105   T=5,K=8:  110639 (0.091) ; 80761 (0.032) ; 31236 (0.030) ; 66746 (0.030) ; 36165 (0.029) ; nlsj6318 (0.025) ; 84034 (0.025) ; 8909 (0.024) ; 48291 (0.022) ; 110606 (0.019) ; 
0.2884211507785046   T=6,K=8:  110639 (0.096) ; 31236 (0.039) ; 28550 (0.033) ; 80761 (0.032) ; 84295 (0.030) ; 66746 (0.026) ; 25610 (0.026) ; nlsj6318 (0.025) ; 36165 (0.024) ; 84034 (0.022) ; 
0.008015390252173711   T=7,K=8:  110639 (0.124) ; 31236 (0.048) ; 25610 (0.040) ; 28550 (0.036) ; 80761 (0.026) ; 84034 (0.025) ; nlsj6318 (0.024) ; 8909 (0.023) ; 84295 (0.022) ; 36165 (0.022) ; 
