1832 documents , 1 concepts , 4516 context features (49875) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 100


map[]

===============  per type  ===============
0.03029652098331337   T=0,K=3:  85306 (0.018) ; 45996 (0.017) ; 58429 (0.015) ; 24444 (0.013) ; 22209 (0.013) ; 84234 (0.013) ; 72627 (0.008) ; 67762 (0.008) ; 8909 (0.007) ; 72287 (0.007) ; 
0.04849105337300723   T=1,K=3:  45996 (0.018) ; 85306 (0.016) ; 84234 (0.012) ; 22209 (0.012) ; 58429 (0.010) ; 72627 (0.010) ; 65552 (0.009) ; 55139 (0.009) ; 28569 (0.008) ; 24444 (0.008) ; 
0.12560155015780639   T=2,K=3:  22209 (0.020) ; 84234 (0.016) ; 45996 (0.015) ;  (0.013) ; 62204 (0.012) ; 58429 (0.012) ; 85306 (0.012) ; 72627 (0.009) ; 24444 (0.008) ; 65552 (0.008) ; 
0.08808607505711807   T=3,K=3:   (0.016) ; 62204 (0.014) ; 84234 (0.012) ; 45996 (0.012) ; 22209 (0.011) ; 58429 (0.009) ; 85306 (0.009) ; 28566 (0.008) ; 84494 (0.007) ; 65552 (0.007) ; 
0.1282018348021101   T=4,K=3:  8909 (0.011) ; 49875 (0.010) ; 62204 (0.010) ; 22209 (0.010) ; 114548 (0.010) ; 28566 (0.009) ; 58429 (0.009) ; 84494 (0.009) ; 45996 (0.009) ; 84234 (0.008) ; 
0.12156798224897805   T=5,K=3:  8909 (0.017) ; 62204 (0.012) ; 22209 (0.011) ; 58429 (0.010) ; 72627 (0.009) ; 49875 (0.008) ; 116416 (0.007) ; 28002 (0.007) ; 46613 (0.007) ;  (0.007) ; 
0.07489570368370081   T=6,K=3:  8909 (0.023) ; 22209 (0.022) ; 62204 (0.017) ; 51647 (0.013) ; 28002 (0.010) ; nlsj114757 (0.008) ; 72627 (0.008) ; 63772 (0.008) ;  (0.007) ; 114548 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  22209 (0.014) ; 45996 (0.012) ; 62204 (0.011) ; 84234 (0.011) ; 8909 (0.011) ; 58429 (0.010) ; 85306 (0.010) ;  (0.009) ; 72627 (0.008) ; 28566 (0.007) ; 

0.014283099236815887   T=0,K=4:  62204 (0.015) ; 46123 (0.014) ; 114624 (0.013) ; 43206 (0.011) ; 58429 (0.009) ; 112720 (0.009) ; 21920 (0.009) ; 84494 (0.008) ; 48291 (0.008) ;  (0.007) ; 
0.018292348663001032   T=1,K=4:  58429 (0.020) ; 114624 (0.011) ; 22209 (0.010) ; 46123 (0.010) ; 62204 (0.010) ;  (0.009) ; 98323 (0.009) ; 45996 (0.007) ; 21920 (0.007) ; 112720 (0.007) ; 
0.08985631985509229   T=2,K=4:  58429 (0.014) ;  (0.014) ; 43206 (0.010) ; 62204 (0.009) ; 45996 (0.009) ; 84494 (0.009) ; 22209 (0.008) ; 23069 (0.008) ; 85306 (0.007) ; 114624 (0.007) ; 
0.09392559076070142   T=3,K=4:  58429 (0.014) ;  (0.013) ; 22209 (0.012) ; 45996 (0.008) ; 62204 (0.008) ; 43206 (0.007) ; 84494 (0.007) ; 19546 (0.007) ; 115887 (0.007) ; 85306 (0.006) ; 
0.11735900641245459   T=4,K=4:   (0.015) ; 58429 (0.014) ; 45996 (0.010) ; 22209 (0.009) ; 115887 (0.008) ; 19546 (0.008) ; 84494 (0.008) ; 23069 (0.007) ; 85306 (0.007) ; 112720 (0.006) ; 
0.08209507193209033   T=5,K=4:  45996 (0.012) ; 112720 (0.011) ;  (0.010) ; 58429 (0.009) ; 62204 (0.008) ; 84494 (0.008) ; 115887 (0.008) ; 22209 (0.008) ; 19546 (0.008) ; 86219 (0.006) ; 
0.11493193399520096   T=6,K=4:  45996 (0.017) ; 84494 (0.011) ; 112720 (0.009) ; 22209 (0.009) ; 62204 (0.009) ;  (0.008) ; 115887 (0.008) ; 19546 (0.007) ; nlsj61217 (0.007) ; 28588 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  58429 (0.012) ;  (0.011) ; 45996 (0.010) ; 62204 (0.009) ; 22209 (0.009) ; 84494 (0.008) ; 112720 (0.007) ; 46123 (0.007) ; 43206 (0.007) ; 114624 (0.006) ; 

0.052289537788482415   T=0,K=5:  19546 (0.021) ; 62204 (0.017) ; 84494 (0.013) ; 106974 (0.012) ; 84434 (0.010) ; 11583 (0.010) ; 85306 (0.009) ; 58429 (0.009) ; 68641 (0.008) ; 110606 (0.007) ; 
0.050321896622633956   T=1,K=5:  19546 (0.014) ; 84494 (0.011) ; 106974 (0.009) ; 85306 (0.008) ; 58429 (0.008) ; 110606 (0.008) ; 62204 (0.008) ; 11583 (0.007) ; 70958 (0.007) ; 65552 (0.007) ; 
0.10845313942457188   T=2,K=5:  84494 (0.013) ; 58429 (0.011) ; 86112 (0.010) ; 62204 (0.010) ; 106974 (0.009) ;  (0.009) ; 26943 (0.008) ; 85306 (0.008) ; 33819 (0.008) ; 86219 (0.008) ; 
0.10234628733687812   T=3,K=5:  58429 (0.012) ; 84494 (0.012) ; 85306 (0.011) ;  (0.011) ; 86219 (0.008) ; 45996 (0.008) ; 62204 (0.008) ; 84234 (0.007) ; 102381 (0.007) ; 26943 (0.006) ; 
0.0842242973225538   T=4,K=5:  85306 (0.015) ; 45996 (0.012) ; 84494 (0.011) ; 58429 (0.010) ;  (0.010) ; 84234 (0.009) ; 28569 (0.009) ; 102381 (0.008) ; 110606 (0.008) ; 86219 (0.008) ; 
0.10090421036961937   T=5,K=5:  85306 (0.015) ; 58429 (0.013) ;  (0.009) ; 62204 (0.009) ; 28569 (0.009) ; 45996 (0.009) ; 84494 (0.009) ; 86219 (0.008) ; 110606 (0.008) ; 19546 (0.007) ; 
0.07526766647437477   T=6,K=5:  58429 (0.014) ; 85306 (0.013) ; 28569 (0.010) ; 110606 (0.009) ; 62204 (0.008) ; 84234 (0.008) ;  (0.008) ; 49875 (0.008) ; 86219 (0.007) ; 26886 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  85306 (0.011) ; 58429 (0.011) ; 84494 (0.011) ; 62204 (0.009) ; 19546 (0.009) ;  (0.008) ; 110606 (0.007) ; 86219 (0.007) ; 45996 (0.007) ; 106974 (0.007) ; 

0.08170955838860405   T=0,K=6:  45996 (0.012) ; 52571 (0.011) ; 65552 (0.010) ; 112833 (0.010) ; 62204 (0.009) ; 63772 (0.008) ; 79484 (0.007) ; 68641 (0.006) ; 70840 (0.006) ; 106974 (0.006) ; 
0.10629598715776467   T=1,K=6:  45996 (0.020) ; 52571 (0.013) ; 62204 (0.012) ; 65552 (0.010) ; 63772 (0.009) ; 28569 (0.007) ; 70840 (0.006) ; 26447 (0.006) ; 2583 (0.005) ; 112833 (0.005) ; 
0.08247562852191775   T=2,K=6:  45996 (0.023) ; 62204 (0.011) ; 65552 (0.008) ; 28569 (0.008) ; 63772 (0.007) ; 52571 (0.007) ; 73277 (0.007) ; 84234 (0.005) ; 8909 (0.005) ; 106974 (0.005) ; 
0.10881926610780222   T=3,K=6:  45996 (0.011) ; 22209 (0.010) ; 63772 (0.009) ; 52571 (0.009) ; 62204 (0.007) ; 65552 (0.007) ; 84494 (0.006) ; 49875 (0.005) ; 85306 (0.005) ; 8665 (0.005) ; 
0.10475336817546735   T=4,K=6:  45996 (0.011) ; 22209 (0.010) ; 52571 (0.008) ; 84494 (0.007) ; 62204 (0.007) ; 63772 (0.007) ; 85306 (0.007) ; 31161 (0.006) ; 90504 (0.006) ; 8665 (0.006) ; 
0.0903914399026197   T=5,K=6:  45996 (0.013) ; 84494 (0.012) ; 90504 (0.008) ; 22209 (0.007) ; 8665 (0.006) ; 24342 (0.006) ; 52571 (0.006) ; 68641 (0.006) ;  (0.005) ; 11583 (0.005) ; 
0.10423706020014564   T=6,K=6:  90504 (0.012) ; 84494 (0.010) ; 45996 (0.009) ; 68641 (0.008) ; 19546 (0.007) ;  (0.007) ; 8909 (0.006) ; 28569 (0.006) ; 115193 (0.006) ; 3295 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  45996 (0.014) ; 52571 (0.008) ; 62204 (0.008) ; 63772 (0.007) ; 84494 (0.007) ; 65552 (0.006) ; 90504 (0.006) ; 22209 (0.006) ; 28569 (0.006) ; 68641 (0.005) ; 

0.08816395395709356   T=0,K=7:  45996 (0.020) ; 86112 (0.019) ;  (0.014) ; 84234 (0.014) ; 72627 (0.012) ; 68641 (0.011) ; 20621 (0.010) ; 47007 (0.009) ; 110639 (0.008) ; 15893 (0.008) ; 
0.13243225216070378   T=1,K=7:  45996 (0.021) ; 86112 (0.016) ;  (0.014) ; 84234 (0.013) ; 62204 (0.010) ; 20621 (0.010) ; 22209 (0.009) ; 110639 (0.007) ; 58429 (0.007) ; 24444 (0.007) ; 
0.08784884915119509   T=2,K=7:  58429 (0.014) ;  (0.012) ; 45996 (0.010) ; 84234 (0.010) ; 62204 (0.009) ; 20621 (0.009) ; 15893 (0.008) ; 45936 (0.007) ; 22210 (0.007) ; 86112 (0.007) ; 
0.07727520732815475   T=3,K=7:   (0.019) ; 58429 (0.015) ; 85306 (0.011) ; 84234 (0.010) ; 20621 (0.010) ; 15893 (0.009) ; 84494 (0.009) ; 22210 (0.008) ; 50702 (0.008) ; 45996 (0.008) ; 
